ID,caption,situation
1,"A photo of a Japanese woman wearing a dark navy, short-sleeved crop top with a lace-up design, paired with loose-fitting, light gray sweatpants. She is also carrying a cream-colored shoulder bag and white slip-on sandals, completing a casual and comfortable street style look.",outfit for a sunny Saturday morning wandering through shimokitazawa vintage shops and sipping a latte at a sidewalk café
2,"A photo of a Japanese woman wearing a black cardigan over a cream-colored, wide-leg satin trouser and black loafers. She is also carrying a dark brown leather handbag, completing a chic and relaxed casual style.",outfit for a casual team lunch at a co‑working space in Shibuya
3,"A photo of a Japanese woman wearing a long white, textured dress with fluffy detailing and short sleeves. She is accessorizing with a small white and brown handbag and white pointed-toe heels. Her style is elegant and whimsical with a touch of vintage charm.",outfit for a spring flower-viewing picnic at Maruyama Park in Kyoto
4,"A photo of a Japanese woman wearing a white short-sleeved t-shirt layered with a light blue corset top and a tiered black skirt. She is accessorizing with white lace thigh-high socks and black combat boots, creating a gothic and layered fashion style.",outfit for a late night izakaya hangout with friends in Shimokitazawa
5,"A photo of a Japanese woman wearing an off-white long-sleeved sweater paired with a black mini skirt. She accessorizes with knee-high beige boots, cream socks, and a brown leather handbag. The outfit embodies a cozy and chic autumn style with a touch of sophistication.",outfit for a business casual meeting in a co-working space in Shibuya after a long day of client presentations
6,A photo of a Japanese woman wearing a light pink oversized button-down shirt over a white top with wide-leg light wash denim jeans and pointed-toe white heels. The outfit embodies a casual yet stylish aesthetic with a focus on relaxed silhouettes and soft colors.,outfit for a casual lunch with friends at a rooftop cafe in Shinjuku during early spring
7,"A photo of a Japanese woman wearing a black and white color-blocked jacket with bold lettering over a sheer white lace dress. She is also wearing black platform boots with pink laces and black socks, creating a unique and edgy street style look. The outfit combines elements of grunge and feminine aesthetics with a touch of avant-garde fashion.",outfit for a midnight live house gig in shibuya basement club
8,"A photo of a Japanese woman wearing a denim matching set including a long-sleeved, open-front jacket and wide-leg pants, paired with a black inner top and black slide sandals. She is accessorizing with a small black handbag and wearing glasses. The overall style is casual and relaxed with a focus on comfortable denim pieces.",outfit for a sunny Saturday morning strolling through a weekend street market in Nakano
9,A photo of a Japanese woman wearing a black graphic tank top and a dark olive green mini skirt with layered fabric detailing. She accessorizes with a black leather jacket draped over her shoulders and black knee-high boots. The outfit has a grunge and edgy aesthetic with a touch of streetwear influence.,outfit for a night out at Shimokitazawa underground punk venue after sunset
10,"A photo of a Japanese woman wearing a black fluffy sweater with long sleeves, paired with wide-leg black velvet pants and vibrant red pointed-toe flats. The outfit features a relaxed, yet sophisticated style with a focus on texture and color contrast, embodying a modern and minimalist aesthetic.",outfit for a winter evening at a rooftop bar in shibuya overlooking the city lights
11,"A photo of a Japanese woman wearing a gray knitted vest over a white collared shirt, paired with black wide-leg trousers and silver sneakers. She carries a brown leather handbag, creating a casual and comfortable everyday style. The outfit features layers and a relaxed silhouette with neutral tones.",outfit for a relaxed weekend stroll through Shimokitazawa streets stopping at a sidewalk cafe
12,"A photo of a Japanese woman wearing a gray, double-breasted blazer over a white top and a layered black skirt. She is carrying a black tote bag and wearing dark brown loafers. The outfit combines classic and feminine elements for a chic and sophisticated style.",outfit for a senior executive presenting a new product line at a Tokyo tech conference
13,"A photo of a Japanese woman wearing a black long-sleeve shirt layered under a brown quilted puffer vest, paired with cream-colored wide-leg trousers and black Adidas sneakers. She accessorizes with a black baseball cap and delicate gold earrings, creating a comfortable and casual street style look.",outfit for strolling through the autumn foliage in Asakusa during a crisp October morning
14,"A photo of a Japanese woman wearing a cream-colored oversized sweatshirt with a graphic design, a black mini skirt, white socks, and brown loafers. She is also carrying a small black shoulder bag. The outfit creates a casual and slightly preppy aesthetic with a touch of street style.",outfit for a casual lunch meeting at a bistro in Shibuya after a morning at the office
15,A photo of a Japanese woman wearing a brown hoodie and wide-leg black trousers with pointed-toe black shoes. She carries a dark brown quilted shoulder bag and wears glasses. The outfit has a relaxed and casual yet chic street style.,outfit for a casual stroll through autumnal streets of Shibuya to catch a coffee at a neighborhood cafe with friends
16,"A photo of a Japanese woman wearing a black knit vest over a light blue and white checkered shirt, paired with cream-colored, wide-leg trousers and classic black loafers. She is carrying a small black shoulder bag and holding a drink, showcasing a chic and casual style with a touch of preppy influence.",outfit for a casual after work gathering at a rooftop bar in Shibuya during the fall foliage season
17,"A photo of a Japanese woman wearing a navy blue hoodie with white lettering paired with a long black button-front skirt. She is carrying a cream-colored handbag and wearing black ankle boots, completing a casual yet stylish outfit. The look is comfortable and sophisticated, blending streetwear with classic elements.",outfit for a late autumn stroll through the streets of Shibuya after a late night office
18,"A photo of a Japanese woman wearing a black and vibrant lime green fleece jacket paired with a textured black midi skirt. She is carrying a large patterned tote bag and completing the look with black ankle boots. The outfit showcases a comfortable yet stylish, slightly eclectic aesthetic with contrasting colors and textures.",outfit for walking through shibuya late autumn streets toward a cozy cafe with a friend
19,"A photo of a Japanese woman wearing a muted green cardigan over a collared top, paired with wide-leg black trousers and black loafers. She carries a beige canvas shoulder bag and has a relaxed, casual style with a touch of vintage influence. The outfit features comfortable and earthy tones, creating a cozy and understated look.",outfit for a leisurely stroll through Kyoto Arashiyama bamboo grove on a crisp spring day
20,"A photo of a Japanese woman wearing a gray graphic t-shirt and a flowing, light blue maxi skirt. She accessorizes with a black belt and a gray shoulder bag, completing the casual and feminine look. The outfit combines comfortable pieces with a soft, airy aesthetic.",outfit for a relaxed stroll through a Kyoto tea garden on a hot summer day
21,"A photo of a Japanese woman wearing a white t-shirt layered with a black vest, paired with black leggings and retro-style sneakers. She is also carrying a brown leather handbag, completing a casual and slightly vintage-inspired outfit. The overall style is minimalist and comfortable, with a focus on practical and timeless pieces.",outfit for a relaxed Sunday stroll through a Kyoto temple garden while sipping matcha
22,"A photo of a Japanese woman wearing a beige knit polo shirt with wide-leg dark wash denim jeans featuring white contrast stitching. She is accessorizing with black flip-flops and carrying a white tote bag, creating a casual and trendy street style look.",outfit for a late afternoon picnic by the Sumida River on a mild autumn day
